Accession,Description,Norm Avg Ratio
P53041,Serine/threonine-protein phosphatase 5,0.955133259
Q92621,Nuclear pore complex protein Nup205,0.955094823
Q8IY81,Putative rRNA methyltransferase 3,0.954901829
Q4J6C6,Prolyl endopeptidase-like,0.954767656
P55957,BH3-interacting domain death agonist,0.954566679
Q13232,Nucleoside diphosphate kinase 3,0.954526894
Q01082,"Spectrin beta chain, brain 1",0.954188042
P17480,Nucleolar transcription factor 1,0.954107098
P17812,CTP synthase 1,0.953765739
O43852,Calumenin,0.95372435
P04181,"Ornithine aminotransferase, mitochondrial",0.953648689
O95373,Importin-7,0.953629595
Q03154,Aminoacylase-1,0.953520548
Q92769,Histone deacetylase 2,0.953216073
Q8IVB4,Sodium/hydrogen exchanger 9,0.952911917
P10155,60 kDa SS-A/Ro ribonucleoprotein,0.952669189
Q99497,Protein DJ-1,0.952651843
P32929,Cystathionine gamma-lyase,0.952467033
P48507,Glutamate--cysteine ligase regulatory subunit,0.952265539
P36952,Serpin B5,0.952194227
Q13867,Bleomycin hydrolase,0.952047927
Q6P996,Pyridoxal-dependent decarboxylase domain-containing protein 1,0.951852102
Q9UNS2,COP9 signalosome complex subunit 3,0.951388058
Q9NYH9,U3 small nucleolar RNA-associated protein 6 homolog,0.951339002
P36542,"ATP synthase subunit gamma, mitochondrial",0.951022455
P00966,Argininosuccinate synthase,0.950897615
Q9H6T3,RNA polymerase II-associated protein 3,0.95085303
Q9UPU5,Ubiquitin carboxyl-terminal hydrolase 24,0.950710355
Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial",0.950639018
P55145,Mesencephalic astrocyte-derived neurotrophic factor,0.950633889
O60313,"Dynamin-like 120 kDa protein, mitochondrial",0.950464274
Q6P1J9,Parafibromin,0.950183525
Q9UBT2,SUMO-activating enzyme subunit 2,0.950105926
Q9Y617,Phosphoserine aminotransferase,0.950091121
P07900,Heat shock protein HSP 90-alpha,0.950019815
P78417,Glutathione S-transferase omega-1,0.949667049
P07948,Tyrosine-protein kinase Lyn,0.949383426
P60228,Eukaryotic translation initiation factor 3 subunit E,0.949329519
Q5BJH7,Protein YIF1B,0.949218061
P12814,Alpha-actinin-1,0.94882408
Q14155,Rho guanine nucleotide exchange factor 7,0.948799478
Q04206,Transcription factor p65,0.948552406
Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",0.9484454
Q9Y230,RuvB-like 2,0.948332593
P07237,Protein disulfide-isomerase,0.948249223
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,0.948204638
Q16537,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,0.948203304
Q6UW63,KDEL motif-containing protein 1,0.948187927
Q15102,Platelet-activating factor acetylhydrolase IB subunit gamma,0.947856869
Q9Y285,Phenylalanyl-tRNA synthetase alpha chain,0.94769636
P28074,Proteasome subunit beta type-5,0.947651088
O60443,Non-syndromic hearing impairment protein 5,0.947491266
P55786,Puromycin-sensitive aminopeptidase,0.947411012
Q6IA86,Elongator complex protein 2,0.947304006
P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,0.947168469
P16949,Stathmin,0.947125286
Q8TDN6,Ribosome biogenesis protein BRX1 homolog,0.946965154
P15121,Aldose reductase,0.946795729
P35250,Replication factor C subunit 2,0.946733309
Q96QD8,Sodium-coupled neutral amino acid transporter 2,0.946604908
Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4,0.94624395
Q9H583,HEAT repeat-containing protein 1,0.946182461
Q9BV86,Alpha N-terminal protein methyltransferase 1A,0.94607344
P12235,ADP/ATP translocase 1,0.945850842
P04632,Calpain small subunit 1,0.945770257
O43242,26S proteasome non-ATPase regulatory subunit 3,0.945711368
P40429,60S ribosomal protein L13a,0.945665581
P26373,60S ribosomal protein L13,0.94526198
P62910,60S ribosomal protein L32,0.945230217
Q08379,Golgin subfamily A member 2,0.945101164
Q96T51,RUN and FYVE domain-containing protein 1,0.945084448
P48739,Phosphatidylinositol transfer protein beta isoform,0.944272177
Q96IU4,Abhydrolase domain-containing protein 14B,0.943890955
Q92888,Rho guanine nucleotide exchange factor 1,0.943870905
Q8NB90,Spermatogenesis-associated protein 5,0.943599209
P62314,Small nuclear ribonucleoprotein Sm D1,0.943507983
Q9Y6C9,Mitochondrial carrier homolog 2,0.943228871
P14406,"Cytochrome c oxidase subunit 7A2, mitochondrial",0.943222824
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",0.942465789
Q9Y6E2,Basic leucine zipper and W2 domain-containing protein 2,0.942451215
Q16204,Coiled-coil domain-containing protein 6,0.942370091
O75521,"Enoyl-CoA delta isomerase 2, mitochondrial",0.942302143
Q86XP3,ATP-dependent RNA helicase DDX42,0.942239067
P63151,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,0.942069642
Q96TA1,Niban-like protein 1,0.942063398
P54886,Delta-1-pyrroline-5-carboxylate synthase,0.941311684
P06753,Tropomyosin alpha-3 chain,0.94110659
Q9Y3T9,Nucleolar complex protein 2 homolog,0.940841482
P26447,Protein S100-A4,0.940831245
P62195,26S protease regulatory subunit 8,0.940803702
Q96G23,LAG1 longevity assurance homolog 2,0.940669384
P27708,CAD protein,0.940622838
Q969E8,Pre-rRNA-processing protein TSR2 homolog,0.940000094
P62701,"40S ribosomal protein S4, X isoform",0.939925932
Q15942,Zyxin,0.939590782
Q9BQ39,ATP-dependent RNA helicase DDX50,0.93911392
Q86YV9,Hermansky-Pudlak syndrome 6 protein,0.938981345
Q13907,Isopentenyl-diphosphate Delta-isomerase 1,0.938921889
P24534,Elongation factor 1-beta,0.938915212
P46781,40S ribosomal protein S9,0.938636541
P61163,Alpha-centractin,0.938601142
O60343,TBC1 domain family member 4,0.938582391
P08670,Vimentin,0.937985589
P08758,Annexin A5,0.937747223
P12081,"Histidyl-tRNA synthetase, cytoplasmic",0.93772945
P10620,Microsomal glutathione S-transferase 1,0.937115673
P04080,Cystatin-B,0.937058206
Q09161,Nuclear cap-binding protein subunit 1,0.936960693
P39210,Protein Mpv17,0.936906278
Q53EL6,Programmed cell death protein 4,0.936879863
P26640,Valyl-tRNA synthetase,0.936755023
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,0.9366391
Q8WWM7,Ataxin-2-like protein,0.936523177
Q9BXV9,Uncharacterized protein C14orf142,0.936349771
P36543,V-type proton ATPase subunit E 1,0.936345393
P16278,Beta-galactosidase,0.936309166
Q96PZ0,Pseudouridylate synthase 7 homolog,0.936018983
P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",0.935870927
P06737,"Glycogen phosphorylase, liver form",0.935826385
Q00325,"Phosphate carrier protein, mitochondrial",0.935682883
Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1,0.935631992
P00338,L-lactate dehydrogenase A chain,0.935604711
Q9Y5L4,Mitochondrial import inner membrane translocase subunit Tim13,0.935590646
O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",0.935545353
Q9NP58,"ATP-binding cassette sub-family B member 6, mitochondrial",0.935542291
O43913,Origin recognition complex subunit 5,0.935305658
Q9Y512,Sorting and assembly machinery component 50 homolog,0.935255195
P62993,Growth factor receptor-bound protein 2,0.935233507
O95336,6-phosphogluconolactonase,0.935123186
P49368,T-complex protein 1 subunit gamma,0.935032259
P40121,Macrophage-capping protein,0.934962677
Q9NX62,Inositol monophosphatase 3,0.934882423
Q92900,Regulator of nonsense transcripts 1,0.934737888
Q96P48,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",0.93432956
P09234,U1 small nuclear ribonucleoprotein C,0.934089085
P40938,Replication factor C subunit 3,0.934036037
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2,0.934025478
Q8IYB3,Serine/arginine repetitive matrix protein 1,0.934009128
Q13283,Ras GTPase-activating protein-binding protein 1,0.933963957
P43487,Ran-specific GTPase-activating protein,0.933928288
Q9Y376,Calcium-binding protein 39,0.933469871
Q9Y3U8,60S ribosomal protein L36,0.933255145
P00813,Adenosine deaminase,0.933241668
Q96JB2,Conserved oligomeric Golgi complex subunit 3,0.933170331
P32119,Peroxiredoxin-2,0.932929568
Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",0.932725987
P32004,Neural cell adhesion molecule L1,0.932697722
O60888,Protein CutA,0.932668787
P41250,Glycyl-tRNA synthetase,0.932573363
P30084,"Enoyl-CoA hydratase, mitochondrial",0.932569797
O60216,Double-strand-break repair protein rad21 homolog,0.932163053
O43175,D-3-phosphoglycerate dehydrogenase,0.932028936
O95983,Methyl-CpG-binding domain protein 3,0.931948682
P13798,Acylamino-acid-releasing enzyme,0.931841556
P03905,NADH-ubiquinone oxidoreductase chain 4,0.931612847
Q9NSD9,Phenylalanyl-tRNA synthetase beta chain,0.93142411
O75390,"Citrate synthase, mitochondrial",0.931413653
Q92783,Signal transducing adapter molecule 1,0.931377985
P23396,40S ribosomal protein S3,0.930905376
O75718,Cartilage-associated protein,0.930790652
P28070,Proteasome subunit beta type-4,0.930786727
Q8NBS9,Thioredoxin domain-containing protein 5,0.930744867
Q15843,NEDD8,0.930709584
P38919,Eukaryotic initiation factor 4A-III,0.93042385
P07108,Acyl-CoA-binding protein,0.930123822
O60232,Sjoegren syndrome/scleroderma autoantigen 1,0.930084998
Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,0.929926257
P82650,"28S ribosomal protein S22, mitochondrial",0.929691663
Q9NZM1,Myoferlin,0.929594555
P18077,60S ribosomal protein L35a,0.929451002
P61247,40S ribosomal protein S3a,0.929389461
P17174,"Aspartate aminotransferase, cytoplasmic",0.929229541
P08238,Heat shock protein HSP 90-beta,0.929204522
P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",0.928720675
P24752,"Acetyl-CoA acetyltransferase, mitochondrial",0.928479912
Q8N3C0,Activating signal cointegrator 1 complex subunit 3,0.928346155
P23284,Peptidyl-prolyl cis-trans isomerase B,0.927961688
P26641,Elongation factor 1-gamma,0.927873546
Q9H2U2,"Inorganic pyrophosphatase 2, mitochondrial",0.927704121
Q16719,Kynureninase,0.927409855
Q01650,Large neutral amino acids transporter small subunit 1,0.927258263
Q15061,WD repeat-containing protein 43,0.926845619
Q9Y2Q3,Glutathione S-transferase kappa 1,0.92683024
Q15084,Protein disulfide-isomerase A6,0.926732152
Q92990,Glomulin,0.92658056
O95155,Ubiquitin conjugation factor E4 B,0.926539345
Q9UHY7,Enolase-phosphatase E1,0.926420426
P06703,Protein S100-A6,0.926116869
O43324,Eukaryotic translation elongation factor 1 epsilon-1,0.926115027
Q14344,Guanine nucleotide-binding protein subunit alpha-13,0.926107952
Q9UBQ0,Vacuolar protein sorting-associated protein 29,0.926099035
P40227,T-complex protein 1 subunit zeta,0.925962674
P51570,Galactokinase,0.925403497
Q16513,Serine/threonine-protein kinase N2,0.925334283
P30041,Peroxiredoxin-6,0.92533216
P29692,Elongation factor 1-delta,0.925278657
Q96AY3,Peptidyl-prolyl cis-trans isomerase FKBP10,0.925242989
Q6UWE0,E3 ubiquitin-protein ligase LRSAM1,0.924955192
Q86UN3,Reticulon-4 receptor-like 2,0.924852792
Q969U7,Proteasome assembly chaperone 2,0.924690217
P14324,Farnesyl pyrophosphate synthase,0.92464554
P49903,"Selenide, water dikinase 1",0.924571778
P62263,40S ribosomal protein S14,0.924519438
Q96AX1,Vacuolar protein sorting-associated protein 33A,0.924200629
Q92979,Ribosomal RNA small subunit methyltransferase NEP1,0.924172931
P99999,Cytochrome c,0.924031888
Q92896,Golgi apparatus protein 1,0.923816245
P55884,Eukaryotic translation initiation factor 3 subunit B,0.923744908
Q9BZK7,F-box-like/WD repeat-containing protein TBL1XR1,0.923611151
Q9UQ80,Proliferation-associated protein 2G4,0.923423891
P43490,Nicotinamide phosphoribosyltransferase,0.923414974
P63241,Eukaryotic translation initiation factor 5A-1,0.922933448
O94826,Mitochondrial import receptor subunit TOM70,0.922620758
P62917,60S ribosomal protein L8,0.922619265
P08107,Heat shock 70 kDa protein 1A/1B,0.922443798
Q6P2E9,Enhancer of mRNA-decapping protein 4,0.922284912
Q9Y3E0,Vesicle transport protein GOT1B,0.922094394
Q9H9A6,Leucine-rich repeat-containing protein 40,0.921943645
Q96S55,ATPase WRNIP1,0.921863391
Q13144,Translation initiation factor eIF-2B subunit epsilon,0.921854473
Q9BSJ2,Gamma-tubulin complex component 2,0.921631545
P49411,"Elongation factor Tu, mitochondrial",0.92161371
P13807,"Glycogen [starch] synthase, muscle",0.921567863
P40926,"Malate dehydrogenase, mitochondrial",0.921541952
Q9BY44,Eukaryotic translation initiation factor 2A,0.921497788
P00492,Hypoxanthine-guanine phosphoribosyltransferase,0.921375706
Q12788,Transducin beta-like protein 3,0.921257025
P98179,Putative RNA-binding protein 3,0.920949829
P62158,Calmodulin,0.920820085
O15212,Prefoldin subunit 6,0.920313012
Q9UK22,F-box only protein 2,0.920195884
Q92841,Probable ATP-dependent RNA helicase DDX17,0.920068407
P12277,Creatine kinase B-type,0.919580601
Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8,0.919377304
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",0.919062478
P27144,"Adenylate kinase isoenzyme 4, mitochondrial",0.919040892
P14868,"Aspartyl-tRNA synthetase, cytoplasmic",0.919026456
P35241,Radixin,0.918974236
Q99816,Tumor susceptibility gene 101 protein,0.918788994
Q96D96,Voltage-gated hydrogen channel 1,0.918460626
Q6XQN6,Nicotinate phosphoribosyltransferase,0.918032751
Q12974,Protein tyrosine phosphatase type IVA 2,0.917370494
P21964,Catechol O-methyltransferase,0.917273854
Q99848,Probable rRNA-processing protein EBP2,0.916967878
P30043,Flavin reductase,0.916955522
Q9H0H0,Integrator complex subunit 2,0.916810027
P52272,Heterogeneous nuclear ribonucleoprotein M,0.91669356
P22059,Oxysterol-binding protein 1,0.916646861
P36871,Phosphoglucomutase-1,0.916504186
Q14181,DNA polymerase alpha subunit B,0.916067246
P16152,Carbonyl reductase [NADPH] 1,0.915746552
Q05519,Serine/arginine-rich splicing factor 11,0.915746229
Q9C0B1,Alpha-ketoglutarate-dependent dioxygenase FTO,0.915170594
Q9NZL9,Methionine adenosyltransferase 2 subunit beta,0.914783177
Q969Z0,Protein TBRG4,0.914551331
P60033,CD81 antigen,0.914464539
Q86U42,Polyadenylate-binding protein 2,0.914249299
Q9NRF8,CTP synthase 2,0.913794536
O60610,Protein diaphanous homolog 1,0.913508025
O60763,General vesicular transport factor p115,0.913431484
P38646,"Stress-70 protein, mitochondrial",0.9133386
Q9BYT8,"Neurolysin, mitochondrial",0.913240887
Q9Y3I0,tRNA-splicing ligase RtcB homolog,0.913178091
Q3SXM5,Inactive hydroxysteroid dehydrogenase-like protein 1,0.913098895
O15164,Transcription intermediary factor 1-alpha,0.91296408
P62244,40S ribosomal protein S15a,0.912955162
P36776,"Lon protease homolog, mitochondrial",0.912883825
Q9UDY2,Tight junction protein ZO-2,0.912509305
P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial",0.912330962
P02545,Prelamin-A/C,0.911947525
Q00653,Nuclear factor NF-kappa-B p100 subunit,0.911671094
P23246,"Splicing factor, proline- and glutamine-rich",0.911550709
Q01518,Adenylyl cyclase-associated protein 1,0.911537336
P34897,"Serine hydroxymethyltransferase, mitochondrial",0.91061887
P56134,"ATP synthase subunit f, mitochondrial",0.910583202
P41252,"Isoleucyl-tRNA synthetase, cytoplasmic",0.91034119
O60645,Exocyst complex component 3,0.910324605
Q92688,Acidic leucine-rich nuclear phosphoprotein 32 family member B,0.909659831
P28340,DNA polymerase delta catalytic subunit,0.909385503
P35580,Myosin-10,0.909382226
P84090,Enhancer of rudimentary homolog,0.908747766
P52888,Thimet oligopeptidase,0.908388243
Q15067,Peroxisomal acyl-coenzyme A oxidase 1,0.908384883
P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,0.90805965
P18754,Regulator of chromosome condensation,0.908036754
Q9BQ52,Zinc phosphodiesterase ELAC protein 2,0.907742956
Q9Y450,HBS1-like protein,0.90765936
P07384,Calpain-1 catalytic subunit,0.907628452
P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A,0.90724734
Q9H3U1,Protein unc-45 homolog A,0.90694689
Q9Y6X9,MORC family CW-type zinc finger protein 2,0.906461423
P11498,"Pyruvate carboxylase, mitochondrial",0.906442394
Q9HA64,Ketosamine-3-kinase,0.906370669
P60866,40S ribosomal protein S20,0.906302972
P31153,S-adenosylmethionine synthase isoform type-2,0.906035458
P20700,Lamin-B1,0.905400406
P48163,NADP-dependent malic enzyme,0.904662217
O75531,Barrier-to-autointegration factor,0.9043412
Q14677,Clathrin interactor 1,0.904180692
Q04760,Lactoylglutathione lyase,0.904137255
Q96SU4,Oxysterol-binding protein-related protein 9,0.904079824
Q5H9R7,Serine/threonine-protein phosphatase 6 regulatory subunit 3,0.903980241
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",0.903850757
Q69YN4,Protein virilizer homolog,0.903815089
Q5VV41,Rho guanine nucleotide exchange factor 16,0.903766525
Q9Y383,Putative RNA-binding protein Luc7-like 2,0.903048214
O95394,Phosphoacetylglucosamine mutase,0.902962438
Q9P258,Protein RCC2,0.902941208
Q99808,Equilibrative nucleoside transporter 1,0.902736766
P78330,Phosphoserine phosphatase,0.902510161
P30101,Protein disulfide-isomerase A3,0.902367358
O60701,UDP-glucose 6-dehydrogenase,0.902290257
Q27J81,Inverted formin-2,0.902022742
Q68E01,Integrator complex subunit 3,0.901880068
Q9Y2L1,Exosome complex exonuclease RRP44,0.9018444
Q13185,Chromobox protein homolog 3,0.901806111
Q9BQ75,Uncharacterized protein C3orf26,0.901728477
Q12965,Myosin-Ie,0.901630777
Q96SI9,Spermatid perinuclear RNA-binding protein,0.901594719
P19623,Spermidine synthase,0.901507016
Q7L0Y3,Mitochondrial ribonuclease P protein 1,0.900257148
Q15008,26S proteasome non-ATPase regulatory subunit 6,0.900052053
Q9UHV9,Prefoldin subunit 2,0.900025302
Q9HB07,"UPF0160 protein MYG1, mitochondrial",0.899766705
Q15526,Surfeit locus protein 1,0.899709288
O60934,Nibrin,0.899682831
Q16629,Serine/arginine-rich splicing factor 7,0.899365433
Q10471,Polypeptide N-acetylgalactosaminyltransferase 2,0.899361047
P30837,"Aldehyde dehydrogenase X, mitochondrial",0.899073011
Q04323,UBX domain-containing protein 1,0.898955244
Q32P28,Prolyl 3-hydroxylase 1,0.898655071
P62495,Eukaryotic peptide chain release factor subunit 1,0.89812595
Q9BQC3,Diphthamide biosynthesis protein 2,0.897832616
Q02878,60S ribosomal protein L6,0.897791209
Q9UNZ2,NSFL1 cofactor p47,0.897617673
P18085,ADP-ribosylation factor 4,0.897510667
Q5JTH9,RRP12-like protein,0.89743933
Q9Y3A5,Ribosome maturation protein SBDS,0.896975638
P60660,Myosin light polypeptide 6,0.89693997
O60341,Lysine-specific histone demethylase 1A,0.896730611
Q86X76,Nitrilase homolog 1,0.896721954
Q969H8,UPF0556 protein C19orf10,0.896637996
Q68D91,Metallo-beta-lactamase domain-containing protein 2,0.896449527
Q12800,Alpha-globin transcription factor CP2,0.896315769
P62899,60S ribosomal protein L31,0.895745072
P42166,"Lamina-associated polypeptide 2, isoform alpha",0.895633142
Q15418,Ribosomal protein S6 kinase alpha-1,0.895629149
P62269,40S ribosomal protein S18,0.895059257
Q659C4,La-related protein 1B,0.89484257
Q5T3I0,G patch domain-containing protein 4,0.894795312
Q99623,Prohibitin-2,0.894576926
P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",0.894398583
Q2VPB7,Uncharacterized protein DKFZp761E198,0.894229786
Q9BQ67,Glutamate-rich WD repeat-containing protein 1,0.893993728
P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",0.893685212
Q01081,Splicing factor U2AF 35 kDa subunit,0.893581456
Q99798,"Aconitate hydratase, mitochondrial",0.893497952
O60664,Perilipin-3,0.893384887
P06744,Glucose-6-phosphate isomerase,0.893272146
Q9UHB9,Signal recognition particle 68 kDa protein,0.893129429
Q02880,DNA topoisomerase 2-beta,0.892312338
Q9UKD2,mRNA turnover protein 4 homolog,0.892196048
O75122,CLIP-associating protein 2,0.892032185
Q9UPQ0,LIM and calponin homology domains-containing protein 1,0.891892865
P33527,Multidrug resistance-associated protein 1,0.891777797
Q86U38,Pumilio domain-containing protein C14orf21,0.891571176
Q13547,Histone deacetylase 1,0.891528154
Q96HE7,ERO1-like protein alpha,0.891513991
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,0.891342067
O60502,Bifunctional protein NCOAT,0.8913236
O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,0.891167168
P53582,Methionine aminopeptidase 1,0.890916212
P37837,Transaldolase,0.890802299
P54577,"Tyrosyl-tRNA synthetase, cytoplasmic",0.890359116
Q9UKM9,RNA-binding protein Raly,0.88988888
Q9H9P8,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",0.889630433
Q9Y5S9,RNA-binding protein 8A,0.88926855
Q13123,Protein Red,0.88880481
P52569,Low affinity cationic amino acid transporter 2,0.888650355
P61353,60S ribosomal protein L27,0.88842016
P48147,Prolyl endopeptidase,0.888226019
Q9NSE4,"Isoleucyl-tRNA synthetase, mitochondrial",0.887652226
Q9UJX3,Anaphase-promoting complex subunit 7,0.886925124
P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",0.88661124
O43707,Alpha-actinin-4,0.885953592
Q16401,26S proteasome non-ATPase regulatory subunit 5,0.885946021
Q99613,Eukaryotic translation initiation factor 3 subunit C,0.885431502
Q14232,Translation initiation factor eIF-2B subunit alpha,0.885316768
O75439,Mitochondrial-processing peptidase subunit beta,0.885083713
Q92614,Myosin-XVIIIa,0.885045617
Q9BQA1,Methylosome protein 50,0.884891269
O15031,Plexin-B2,0.884746264
P40925,"Malate dehydrogenase, cytoplasmic",0.884420298
Q9UBU9,Nuclear RNA export factor 1,0.884361445
Q9NTM9,Copper homeostasis protein cutC homolog,0.883876939
P26196,Probable ATP-dependent RNA helicase DDX6,0.883401068
P46782,40S ribosomal protein S5,0.88257534
Q99543,DnaJ homolog subfamily C member 2,0.881791523
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1,0.881728646
P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.881705027
Q8IX12,Cell division cycle and apoptosis regulator protein 1,0.881598021
O43813,LanC-like protein 1,0.880817413
Q9UBB4,Ataxin-10,0.880149877
Q2M389,WASH complex subunit 7,0.879879687
P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0.879703636
P23368,"NAD-dependent malic enzyme, mitochondrial",0.879118661
Q13823,Nucleolar GTP-binding protein 2,0.878618803
Q9NX55,Huntingtin-interacting protein K,0.878576829
Q8WTS6,Histone-lysine N-methyltransferase SETD7,0.878091495
Q9BRP4,Proteasomal ATPase-associated factor 1,0.877818935
Q96RD7,Pannexin-1,0.87777835
P52735,Guanine nucleotide exchange factor VAV2,0.877659944
Q96JB5,CDK5 regulatory subunit-associated protein 3,0.877538622
Q3MHD2,Protein LSM12 homolog,0.876994134
P08621,U1 small nuclear ribonucleoprotein 70 kDa,0.876686458
Q7L014,Probable ATP-dependent RNA helicase DDX46,0.876591804
Q96EE3,Nucleoporin SEH1,0.876588581
Q15631,Translin,0.87601909
Q9NTX5,Enoyl-CoA hydratase domain-containing protein 1,0.87526239
P35520,Cystathionine beta-synthase,0.875065552
Q9NZL4,Hsp70-binding protein 1,0.874703673
Q99436,Proteasome subunit beta type-7,0.874260602
Q92530,Proteasome inhibitor PI31 subunit,0.874065718
Q05048,Cleavage stimulation factor subunit 1,0.87381601
P27348,14-3-3 protein theta,0.873654125
Q2NL82,Pre-rRNA-processing protein TSR1 homolog,0.872609539
P11413,Glucose-6-phosphate 1-dehydrogenase,0.872304169
Q9NVM9,Cell cycle regulator Mat89Bb homolog,0.87136851
Q8NE71,ATP-binding cassette sub-family F member 1,0.871178337
Q16658,Fascin,0.870862924
Q9Y613,FH1/FH2 domain-containing protein 1,0.870341215
Q9Y5J1,U3 small nucleolar RNA-associated protein 18 homolog,0.870172483
Q8NC51,Plasminogen activator inhibitor 1 RNA-binding protein,0.869552491
O60547,"GDP-mannose 4,6 dehydratase",0.869081916
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,0.868380345
O75592,Probable E3 ubiquitin-protein ligase MYCBP2,0.867895044
Q9NVT9,Armadillo repeat-containing protein 1,0.866656979
Q12931,"Heat shock protein 75 kDa, mitochondrial",0.866529009
P40261,Nicotinamide N-methyltransferase,0.866464417
Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",0.866162443
A6NDG6,Phosphoglycolate phosphatase,0.865965374
Q9GZT8,NIF3-like protein 1,0.864672388
P34949,Mannose-6-phosphate isomerase,0.863404718
Q9UNQ0,ATP-binding cassette sub-family G member 2,0.862858346
Q8TEM1,Nuclear pore membrane glycoprotein 210,0.862736173
Q9Y4R8,Telomere length regulation protein TEL2 homolog,0.862727101
P78357,Contactin-associated protein 1,0.862585256
O15533,Tapasin,0.86229657
Q5JVF3,PCI domain-containing protein 2,0.861961225
P49207,60S ribosomal protein L34,0.86196071
Q9NTZ6,RNA-binding protein 12,0.861909826
P82933,"28S ribosomal protein S9, mitochondrial",0.861748151
Q9Y4W2,Protein LAS1 homolog,0.861387898
Q03252,Lamin-B2,0.86098069
P35613,Basigin,0.860784513
P11908,Ribose-phosphate pyrophosphokinase 2,0.860200523
Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,0.860156746
Q9UMX0,Ubiquilin-1,0.859706347
O14561,"Acyl carrier protein, mitochondrial",0.859541486
P48637,Glutathione synthetase,0.859306332
Q96D46,60S ribosomal export protein NMD3,0.859004229
P51692,Signal transducer and activator of transcription 5B,0.858363824
Q9Y3C4,TP53RK-binding protein,0.857661353
Q9HB71,Calcyclin-binding protein,0.85726224
P62249,40S ribosomal protein S16,0.857073197
Q99598,Translin-associated protein X,0.855914849
Q5T8P6,RNA-binding protein 26,0.854920189
Q5T6F2,Ubiquitin-associated protein 2,0.854651486
O43488,Aflatoxin B1 aldehyde reductase member 2,0.854099486
O15027,Protein transport protein Sec16A,0.853312837
Q9HD20,Probable cation-transporting ATPase 13A1,0.852883922
Q9HC21,Mitochondrial thiamine pyrophosphate carrier,0.852312184
Q9UMS4,Pre-mRNA-processing factor 19,0.851989391
Q99417,C-Myc-binding protein,0.851818166
P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,0.851749661
Q15293,Reticulocalbin-1,0.851747878
O14653,Golgi SNAP receptor complex member 2,0.851007959
Q99829,Copine-1,0.850039251
O75223,Gamma-glutamylcyclotransferase,0.849078564
Q99439,Calponin-2,0.84619732
O76094,Signal recognition particle 72 kDa protein,0.84502057
Q9BRG1,Vacuolar protein-sorting-associated protein 25,0.844655857
Q14558,Phosphoribosyl pyrophosphate synthase-associated protein 1,0.844559338
P61970,Nuclear transport factor 2,0.84426789
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",0.844192006
P55196,Afadin,0.844076427
Q96KG9,N-terminal kinase-like protein,0.843943592
P55735,Protein SEC13 homolog,0.843616333
Q04695,"Keratin, type I cytoskeletal 17",0.843233787
P47756,F-actin-capping protein subunit beta,0.843031368
Q13242,Serine/arginine-rich splicing factor 9,0.842398251
O15020,"Spectrin beta chain, brain 2",0.842371237
P36915,Guanine nucleotide-binding protein-like 1,0.840897432
Q99567,Nuclear pore complex protein Nup88,0.840004591
P11166,"Solute carrier family 2, facilitated glucose transporter member 1",0.839378631
